phoneme,group,feature,n,mean,median,sd,iqr,cv
a,L1F,F1_lob,303,0.9282756147221295,0.9843256155874952,0.6863025569099717,0.7086973367519599,0.7393305889171825
a,L1F,F2_lob,303,-0.3151093215305261,-0.6523491430938361,0.6798889749974126,1.1858530624607075,2.1576288879526166
a,L1M,F1_lob,1033,0.7943137483220284,0.7396944500408227,0.9371803941803057,0.7228258554839033,1.179861731161119
a,L1M,F2_lob,1033,-0.2890294129762094,-0.3603050175556359,0.5904614500835776,0.8464325164922315,2.042911287136648
a,L2F,F1_lob,1462,0.7654733187883721,0.8171712928029231,0.7077542033555722,0.668405104722823,0.9245968291564224
a,L2F,F2_lob,1462,-0.3887803717999443,-0.5062423550243997,0.45628979908526623,0.6403360805403648,1.1736441245034368
a,L2M,F1_lob,301,0.9142960343149691,0.9789099354939954,0.6893072019149826,0.7567261659629956,0.7539212421843675
a,L2M,F2_lob,301,-0.3162170078061044,-0.387127006357892,0.4988595481438084,0.7576924981617623,1.577586074844195
ɑ,L1F,F1_lob,129,0.2098160436384736,0.2234731136610132,0.443856045661536,0.6802932566604429,2.1154533178898762
ɑ,L1F,F2_lob,129,-0.953618953525614,-0.9664285924895444,0.1748294199007592,0.2709146597614811,0.18333257665905162
ɑ,L1M,F1_lob,479,0.3770785353417323,0.4087532925915879,0.3652704893427721,0.37406619887226883,0.9686854464196457
ɑ,L1M,F2_lob,479,-0.8889981463199734,-0.90120438683869,0.2132210394463701,0.15489084903540118,0.2398441890222191
ɑ,L2F,F1_lob,262,0.39699860864767017,0.4438750442856797,0.8031209807951859,0.8045845683124564,2.0229818525836265
ɑ,L2F,F2_lob,262,-0.7823862238429087,-0.8163065512792407,0.34276010508517407,0.2658504660687194,0.43809578267062527
ɑ,L2M,F1_lob,137,0.35733751675238895,0.3803720905639235,0.3497806150833778,0.3157186754615452,0.9788522018687236
ɑ,L2M,F2_lob,137,-0.9237056528270764,-0.8999016467209968,0.3004782936497408,0.38360511792753793,0.3252965841771159
e,L1F,F1_lob,24,-0.43716248438504346,-0.6295849150673118,0.48658006161457884,0.7110668173090512,1.1130416698474277
e,L1F,F2_lob,24,0.8643737272832608,0.8412195105411888,0.13555377920898767,0.15038018885801707,0.15682311357962622
e,L1M,F1_lob,85,-0.1225984387683525,-0.2845192319918166,0.5330143313247077,0.9330702786508104,4.347643711285985
e,L1M,F2_lob,85,0.6180553236262789,0.6732382944256712,0.32593969587385513,0.388600499591995,0.5273633013327815
e,L2F,F1_lob,107,-0.2489985783763124,-0.2480947398559038,0.4382347934238716,0.5546961550003755,1.7599891384181554
e,L2F,F2_lob,107,0.5573295812106803,0.6780495790094703,0.7200854714390685,0.7158928935501926,1.2920280848449415
e,L2M,F1_lob,25,-0.29168618545130287,-0.3039316185217443,0.22763748355950952,0.3073362437944727,0.7804191453472646
e,L2M,F2_lob,25,0.7959323550804146,0.8312210327026311,0.3081961151437431,0.23579445241820285,0.38721395502587086
ɛ,L1F,F1_lob,36,0.20377163536032172,0.3467245302267819,0.4753955877334847,0.48463781632581404,2.3329821488297946
ɛ,L1F,F2_lob,36,0.7836868653424319,0.850097580859902,0.21781127719662483,0.28797499472591426,0.2779315142680772
ɛ,L1M,F1_lob,126,0.16900768606857258,0.14496611801179896,0.2695358241890664,0.3342216066320531,1.5948140020076123
ɛ,L1M,F2_lob,126,0.6506080260914608,0.6823424713155614,0.29458197116588136,0.4377778311908889,0.45277949141757096
ɛ,L2F,F1_lob,143,0.028805481783671257,0.0460643974165747,0.4325069417349304,0.6429411049499956,15.014744241497196
ɛ,L2F,F2_lob,143,0.4239745752542344,0.6267145356853722,0.7700591616952813,0.6970335200479512,1.8162861799755774
ɛ,L2M,F1_lob,42,-0.2036123563901595,-0.19014354602009376,0.3369486030579223,0.3839713471713518,1.6548534137695725
ɛ,L2M,F2_lob,42,0.8897571779296074,0.9138637129307485,0.25719527352731814,0.3252425247540416,0.28906231936874127
i,L1F,F1_lob,204,-0.9266735537522791,-0.9991268870292964,0.48507123753205594,0.5262026984114752,0.5234542796305229
i,L1F,F2_lob,204,1.2739589537185794,1.2807562895960047,0.2756309231685192,0.21106843490842886,0.21635777382306995
i,L1M,F1_lob,706,-1.072856593505059,-1.1198426208753833,0.2973845775281279,0.37303279605101203,0.2771894951556968
i,L1M,F2_lob,706,1.3318286437985623,1.3542344650693847,0.40229654628141526,0.26332068274703646,0.3020632933182823
i,L2F,F1_lob,778,-1.0344565463135578,-1.0707544540765754,0.4368472282927068,0.45102138289251337,0.4222963543993007
i,L2F,F2_lob,778,1.332027207703863,1.5199154115101887,0.7676281286815078,0.42684610278773993,0.5762856225772884
i,L2M,F1_lob,184,-1.1634208921741394,-1.2013840586697953,0.27108532445141326,0.2671077215988287,0.23300709680812362
i,L2M,F2_lob,184,1.3554430897196048,1.4326531590489542,0.48914155054904684,0.37273444736713923,0.360872067782819
