phoneme,feature,n_l1,n_l2,mean_l1,mean_l2,diff,cohens_d,test,stat,p_raw,p_sw_l1,p_sw_l2,p_levene,p_adj_BH,significant_BH,representation,layer,cosine_dist
a,F1_lob,1336.0,1763.0,0.8246958183214524,0.7908820750977912,0.03381374322366126,0.04213501387622361,Mann-Whitney,1138416.0,0.11140893791766895,5.452803740966919e-07,1.1153227473787292e-05,6.927867572834882e-06,0.18568156319611492,False,acoustic,,
a,F2_lob,1336.0,1763.0,-0.29494424253605817,-0.37639150477660577,0.0814472622405476,0.1499625112919958,Mann-Whitney,1193246.0,0.5281331543137792,0.041116654358240155,1.9593106382073307e-06,3.2686157171589974e-24,0.6601664428922239,False,acoustic,,
ɑ,F1_lob,608.0,399.0,0.34159027641127115,0.38338063975129544,-0.041790363340024284,-0.07527429299942587,Mann-Whitney,114102.0,0.11103959738568478,8.80331290847692e-05,5.4990925375103246e-11,1.0361844631262088e-09,0.18568156319611492,False,acoustic,,
ɑ,F2_lob,608.0,399.0,-0.9027088110066966,-0.8309094363011318,-0.07179937470556486,-0.25761549975831627,Mann-Whitney,97639.0,1.601432925651302e-07,2.459832083696035e-10,1.7511917584875242e-07,7.103515450182857e-12,1.0676219504342013e-06,True,acoustic,,
e,F1_lob,109.0,132.0,-0.19186024697753218,-0.2570833524435454,0.06522310546601323,0.13693859717610074,Mann-Whitney,7416.0,0.6809235626367192,0.0022095008353486298,0.035296187526020796,3.28910209725954e-05,0.7430352669051278,False,acoustic,,
e,F2_lob,109.0,132.0,0.6722905684681835,0.6025195005041907,0.0697710679639928,0.1339236456565563,Mann-Whitney,6773.0,0.4350164532490367,0.23438565232377262,4.749585737164852e-06,6.472375283475444e-06,0.5800219376653822,False,acoustic,,
ɛ,F1_lob,162.0,185.0,0.17673300813340573,-0.0239596490449822,0.20069265717838794,0.5317053397640021,Welch,4.984157098753563,9.940200993385706e-07,0.5839815081859653,0.15951770770301316,2.3430794464864712e-05,4.970100496692853e-06,True,acoustic,,
ɛ,F2_lob,162.0,185.0,0.6801811014805655,0.5297198147805353,0.15046128670003023,0.2766885740295523,Mann-Whitney,15127.0,0.8793605891002025,0.7085630083312575,1.782441478651847e-05,4.0974572510392504e-08,0.8793605891002025,False,acoustic,,
i,F1_lob,910.0,962.0,-1.0400858900879522,-1.0591233234843966,0.01903743339644448,0.04950859095292452,Mann-Whitney,458609.0,0.07380184660574796,4.374218441343107e-08,0.020688923012737025,0.8434467728960712,0.16400410356832879,False,acoustic,,
i,F2_lob,910.0,962.0,1.3188556583300826,1.3365059211039634,-0.01765026277388082,-0.030606045015780303,Mann-Whitney,310942.0,2.1110393690558427e-27,0.0021941432250622527,1.1163916825835065e-13,2.311177474596381e-16,4.222078738111685e-26,True,acoustic,,
