model,response,phoneme,AIC,BIC,logLik,LRT_stat,LRT_p,ICC,R2_marginal,R2_conditional,fe_Intercept,fe_L2,fe_Male,fe_L2:Male,representation
intercept_only,F1_lob,a,7294.296692643606,7312.413196916968,-3644.148346321803,,,0.025407206834680073,7.892092292091249e-32,0.025407206834680073,0.8052562731560978,,,,
main,F1_lob,a,7297.921882023042,7328.11605581198,-3643.960941011521,0.37481062056394876,0.8291076224305499,0.025407206834680073,0.0006125786484435747,0.025428136605875857,0.8143859743128811,-0.02938496612993903,0.014083725696645342,,
full,F1_lob,a,7296.254706953867,7332.487715500593,-3642.1273534769334,3.6671750691748457,0.05549416621583506,0.025407206834680073,0.005876973419840993,0.025268818584209977,0.9279128157596108,-0.16994417499164594,-0.1321464540739414,0.28701965799687246,
extended,F1_lob,a,7296.254706953867,7332.487715500593,-3642.1273534769334,,,0.025407206834680073,0.005876973419840993,0.025268818584209977,0.9279128157596108,-0.16994417499164594,-0.1321464540739414,0.28701965799687246,
intercept_only,F2_lob,a,4848.54036271949,4866.656866992853,-2421.270181359745,,,0.032759258232355995,1.0792153949449037e-32,0.032759258232355995,-0.33338574265051474,,,,
main,F2_lob,a,4849.2029049017,4879.397078690638,-2419.60145245085,3.337457817789982,0.18848649694669023,0.032759258232355995,0.006238673125871186,0.03256514768732547,-0.3310933857190555,-0.04696306235202948,0.04824287878878303,,
full,F2_lob,a,4851.045767381875,4887.278775928601,-2419.5228836909373,0.15713751982548274,0.6918057237985155,0.032759258232355995,0.006585894571529025,0.03263909190657496,-0.3141066455322998,-0.06808061017849983,0.02637195723665403,0.043007245315124405,
extended,F2_lob,a,4851.045767381875,4887.278775928601,-2419.5228836909373,,,0.032759258232355995,0.006585894571529025,0.03263909190657496,-0.3141066455322998,-0.06808061017849983,0.02637195723665403,0.043007245315124405,
intercept_only,F1_lob,ɑ,1274.4906426338675,1289.2348353120233,-634.2453213169338,,,0.552750134566811,1.1512283689048288e-31,0.552750134566811,0.5289286769702832,,,,
main,F1_lob,ɑ,1275.8234801308736,1300.3971345944665,-632.9117400654368,2.6671625029939605,0.2635317956974234,0.552750134566811,0.06671832445555274,0.5512121998559448,0.4519686110377476,0.2675908551405451,-0.12939414484310774,,
full,F1_lob,ɑ,1276.4954449839042,1305.9838303402157,-632.2477224919521,1.3280351469693414,0.2491550681634071,0.552750134566811,0.0888507852928214,0.5453592304962596,0.22195673787112993,0.5565121189349893,0.16628290081195668,-0.5844301257106957,
