phoneme,L1,gender,feature,n_total,n_missing,pct_missing
a,fr,f,F1,303,0,0.0
a,fr,f,F2,303,0,0.0
a,fr,f,F3,303,0,0.0
a,fr,f,f0,303,0,0.0
a,fr,m,F1,1033,0,0.0
a,fr,m,F2,1033,0,0.0
a,fr,m,F3,1033,0,0.0
a,fr,m,f0,1033,89,8.62
a,ru,f,F1,1462,0,0.0
a,ru,f,F2,1462,0,0.0
a,ru,f,F3,1462,0,0.0
a,ru,f,f0,1462,18,1.23
a,ru,m,F1,301,0,0.0
a,ru,m,F2,301,0,0.0
a,ru,m,F3,301,0,0.0
a,ru,m,f0,301,7,2.33
aː,ru,f,F1,1,0,0.0
aː,ru,f,F2,1,0,0.0
aː,ru,f,F3,1,0,0.0
aː,ru,f,f0,1,0,0.0
a̰,fr,m,F1,2,0,0.0
a̰,fr,m,F2,2,0,0.0
a̰,fr,m,F3,2,0,0.0
a̰,fr,m,f0,2,0,0.0
a̰,ru,f,F1,1,0,0.0
a̰,ru,f,F2,1,0,0.0
a̰,ru,f,F3,1,0,0.0
a̰,ru,f,f0,1,0,0.0
b,fr,f,F1,14,0,0.0
b,fr,f,F2,14,0,0.0
b,fr,f,F3,14,0,0.0
b,fr,f,f0,14,3,21.43
b,fr,m,F1,42,0,0.0
b,fr,m,F2,42,0,0.0
b,fr,m,F3,42,0,0.0
b,fr,m,f0,42,8,19.05
b,ru,f,F1,34,0,0.0
b,ru,f,F2,34,0,0.0
b,ru,f,F3,34,0,0.0
b,ru,f,f0,34,3,8.82
b,ru,m,F1,11,0,0.0
b,ru,m,F2,11,0,0.0
b,ru,m,F3,11,0,0.0
b,ru,m,f0,11,4,36.36
b̥,ru,f,F1,14,0,0.0
b̥,ru,f,F2,14,0,0.0
b̥,ru,f,F3,14,0,0.0
b̥,ru,f,f0,14,5,35.71
b̥,ru,m,F1,1,0,0.0
b̥,ru,m,F2,1,0,0.0
b̥,ru,m,F3,1,0,0.0
b̥,ru,m,f0,1,0,0.0
ç,ru,f,F1,11,0,0.0
ç,ru,f,F2,11,0,0.0
ç,ru,f,F3,11,0,0.0
ç,ru,f,f0,11,8,72.73
d,fr,f,F1,156,0,0.0
d,fr,f,F2,156,0,0.0
d,fr,f,F3,156,0,0.0
d,fr,f,f0,156,0,0.0
d,fr,m,F1,546,0,0.0
d,fr,m,F2,546,0,0.0
d,fr,m,F3,546,0,0.0
d,fr,m,f0,546,5,0.92
d,ru,f,F1,626,0,0.0
d,ru,f,F2,626,0,0.0
d,ru,f,F3,626,0,0.0
d,ru,f,f0,626,28,4.47
d,ru,m,F1,156,0,0.0
d,ru,m,F2,156,0,0.0
d,ru,m,F3,156,0,0.0
d,ru,m,f0,156,2,1.28
d̥,ru,f,F1,2,0,0.0
d̥,ru,f,F2,2,0,0.0
d̥,ru,f,F3,2,0,0.0
d̥,ru,f,f0,2,2,100.0
d͡ʒ,ru,f,F1,2,0,0.0
d͡ʒ,ru,f,F2,2,0,0.0
d͡ʒ,ru,f,F3,2,0,0.0
d͡ʒ,ru,f,f0,2,0,0.0
e,fr,f,F1,24,0,0.0
e,fr,f,F2,24,0,0.0
e,fr,f,F3,24,0,0.0
e,fr,f,f0,24,0,0.0
e,fr,m,F1,85,0,0.0
e,fr,m,F2,85,0,0.0
e,fr,m,F3,85,0,0.0
e,fr,m,f0,85,1,1.18
e,ru,f,F1,107,0,0.0
e,ru,f,F2,107,0,0.0
e,ru,f,F3,107,0,0.0
e,ru,f,f0,107,0,0.0
e,ru,m,F1,25,0,0.0
e,ru,m,F2,25,0,0.0
e,ru,m,F3,25,0,0.0
e,ru,m,f0,25,0,0.0
f,fr,f,F1,144,0,0.0
f,fr,f,F2,144,0,0.0
f,fr,f,F3,144,0,0.0
f,fr,f,f0,144,131,90.97
f,fr,m,F1,504,0,0.0
f,fr,m,F2,504,0,0.0
f,fr,m,F3,504,0,0.0
f,fr,m,f0,504,487,96.63
f,ru,f,F1,576,0,0.0
f,ru,f,F2,576,0,0.0
f,ru,f,F3,576,0,0.0
f,ru,f,f0,576,515,89.41
f,ru,m,F1,144,0,0.0
f,ru,m,F2,144,0,0.0
f,ru,m,F3,144,0,0.0
f,ru,m,f0,144,130,90.28
h,ru,f,F1,4,0,0.0
h,ru,f,F2,4,0,0.0
h,ru,f,F3,4,0,0.0
h,ru,f,f0,4,4,100.0
i,fr,f,F1,204,0,0.0
i,fr,f,F2,204,0,0.0
i,fr,f,F3,204,0,0.0
i,fr,f,f0,204,1,0.49
i,fr,m,F1,706,0,0.0
i,fr,m,F2,706,0,0.0
i,fr,m,F3,706,0,0.0
i,fr,m,f0,706,5,0.71
i,ru,f,F1,778,0,0.0
i,ru,f,F2,778,0,0.0
i,ru,f,F3,778,0,0.0
i,ru,f,f0,778,3,0.39
i,ru,m,F1,184,0,0.0
i,ru,m,F2,184,0,0.0
i,ru,m,F3,184,0,0.0
i,ru,m,f0,184,1,0.54
i̥,ru,f,F1,2,0,0.0
i̥,ru,f,F2,2,0,0.0
i̥,ru,f,F3,2,0,0.0
i̥,ru,f,f0,2,0,0.0
j,fr,f,F1,34,0,0.0
j,fr,f,F2,34,0,0.0
j,fr,f,F3,34,0,0.0
j,fr,f,f0,34,3,8.82
j,fr,m,F1,122,0,0.0
j,fr,m,F2,122,0,0.0
j,fr,m,F3,122,0,0.0
j,fr,m,f0,122,17,13.93
j,ru,f,F1,145,0,0.0
j,ru,f,F2,145,0,0.0
j,ru,f,F3,145,0,0.0
j,ru,f,f0,145,6,4.14
j,ru,m,F1,24,0,0.0
j,ru,m,F2,24,0,0.0
j,ru,m,F3,24,0,0.0
j,ru,m,f0,24,5,20.83
j̥,ru,f,F1,1,0,0.0
j̥,ru,f,F2,1,0,0.0
j̥,ru,f,F3,1,0,0.0
j̥,ru,f,f0,1,0,0.0
k,fr,f,F1,36,0,0.0
k,fr,f,F2,36,0,0.0
k,fr,f,F3,36,0,0.0
k,fr,f,f0,36,33,91.67
k,fr,m,F1,127,0,0.0
k,fr,m,F2,127,0,0.0
k,fr,m,F3,127,0,0.0
k,fr,m,f0,127,122,96.06
k,ru,f,F1,138,0,0.0
k,ru,f,F2,138,0,0.0
k,ru,f,F3,138,0,0.0
k,ru,f,f0,138,126,91.3
k,ru,m,F1,36,0,0.0
k,ru,m,F2,36,0,0.0
k,ru,m,F3,36,0,0.0
k,ru,m,f0,36,33,91.67
l,fr,f,F1,96,0,0.0
l,fr,f,F2,96,0,0.0
l,fr,f,F3,96,0,0.0
l,fr,f,f0,96,3,3.12
l,fr,m,F1,336,0,0.0
l,fr,m,F2,336,0,0.0
l,fr,m,F3,336,0,0.0
l,fr,m,f0,336,16,4.76
l,ru,f,F1,377,0,0.0
l,ru,f,F2,377,0,0.0
l,ru,f,F3,377,0,0.0
l,ru,f,f0,377,1,0.27
l,ru,m,F1,92,0,0.0
l,ru,m,F2,92,0,0.0
l,ru,m,F3,92,0,0.0
l,ru,m,f0,92,0,0.0
lʲ,ru,f,F1,4,0,0.0
lʲ,ru,f,F2,4,0,0.0
lʲ,ru,f,F3,4,0,0.0
lʲ,ru,f,f0,4,0,0.0
l̝,ru,f,F1,1,0,0.0
l̝,ru,f,F2,1,0,0.0
l̝,ru,f,F3,1,0,0.0
l̝,ru,f,f0,1,0,0.0
l̥,ru,m,F1,2,0,0.0
l̥,ru,m,F2,2,0,0.0
l̥,ru,m,F3,2,0,0.0
l̥,ru,m,f0,2,0,0.0
l̰,ru,f,F1,1,0,0.0
l̰,ru,f,F2,1,0,0.0
l̰,ru,f,F3,1,0,0.0
l̰,ru,f,f0,1,0,0.0
n,fr,f,F1,12,0,0.0
n,fr,f,F2,12,0,0.0
n,fr,f,F3,12,0,0.0
n,fr,f,f0,12,0,0.0
n,fr,m,F1,46,0,0.0
n,fr,m,F2,46,0,0.0
n,fr,m,F3,46,0,0.0
n,fr,m,f0,46,0,0.0
n,ru,f,F1,50,0,0.0
n,ru,f,F2,50,0,0.0
n,ru,f,F3,50,0,0.0
n,ru,f,f0,50,0,0.0
n,ru,m,F1,24,0,0.0
n,ru,m,F2,24,0,0.0
n,ru,m,F3,24,0,0.0
n,ru,m,f0,24,0,0.0
n̰,ru,f,F1,1,0,0.0
n̰,ru,f,F2,1,0,0.0
n̰,ru,f,F3,1,0,0.0
n̰,ru,f,f0,1,0,0.0
o,fr,f,F1,12,0,0.0
o,fr,f,F2,12,0,0.0
o,fr,f,F3,12,0,0.0
o,fr,f,f0,12,0,0.0
o,fr,m,F1,42,0,0.0
o,fr,m,F2,42,0,0.0
o,fr,m,F3,42,0,0.0
o,fr,m,f0,42,0,0.0
o,ru,f,F1,48,0,0.0
o,ru,f,F2,48,0,0.0
o,ru,f,F3,48,0,0.0
o,ru,f,f0,48,0,0.0
o,ru,m,F1,12,0,0.0
o,ru,m,F2,12,0,0.0
o,ru,m,F3,12,0,0.0
o,ru,m,f0,12,0,0.0
p,fr,f,F1,34,0,0.0
p,fr,f,F2,34,0,0.0
p,fr,f,F3,34,0,0.0
p,fr,f,f0,34,16,47.06
p,fr,m,F1,125,0,0.0
p,fr,m,F2,125,0,0.0
p,fr,m,F3,125,0,0.0
p,fr,m,f0,125,80,64.0
p,ru,f,F1,143,0,0.0
p,ru,f,F2,143,0,0.0
p,ru,f,F3,143,0,0.0
p,ru,f,f0,143,108,75.52
p,ru,m,F1,36,0,0.0
p,ru,m,F2,36,0,0.0
p,ru,m,F3,36,0,0.0
p,ru,m,f0,36,27,75.0
pʰ,ru,f,F1,1,0,0.0
pʰ,ru,f,F2,1,0,0.0
pʰ,ru,f,F3,1,0,0.0
pʰ,ru,f,f0,1,1,100.0
r,ru,f,F1,1,0,0.0
r,ru,f,F2,1,0,0.0
r,ru,f,F3,1,0,0.0
r,ru,f,f0,1,0,0.0
s,fr,f,F1,73,0,0.0
s,fr,f,F2,73,0,0.0
s,fr,f,F3,73,0,0.0
s,fr,f,f0,73,65,89.04
s,fr,m,F1,252,0,0.0
s,fr,m,F2,252,0,0.0
s,fr,m,F3,252,0,0.0
s,fr,m,f0,252,237,94.05
s,ru,f,F1,295,0,0.0
s,ru,f,F2,295,0,0.0
s,ru,f,F3,295,0,0.0
s,ru,f,f0,295,260,88.14
s,ru,m,F1,72,0,0.0
s,ru,m,F2,72,0,0.0
s,ru,m,F3,72,0,0.0
s,ru,m,f0,72,72,100.0
sʲ,fr,m,F1,1,0,0.0
sʲ,fr,m,F2,1,0,0.0
sʲ,fr,m,F3,1,0,0.0
sʲ,fr,m,f0,1,1,100.0
sʲ,ru,f,F1,3,0,0.0
sʲ,ru,f,F2,3,0,0.0
sʲ,ru,f,F3,3,0,0.0
sʲ,ru,f,f0,3,2,66.67
sː,ru,f,F1,1,0,0.0
sː,ru,f,F2,1,0,0.0
sː,ru,f,F3,1,0,0.0
sː,ru,f,f0,1,1,100.0
t,fr,f,F1,180,0,0.0
t,fr,f,F2,180,0,0.0
t,fr,f,F3,180,0,0.0
t,fr,f,f0,180,162,90.0
t,fr,m,F1,630,0,0.0
t,fr,m,F2,630,0,0.0
t,fr,m,F3,630,0,0.0
t,fr,m,f0,630,593,94.13
t,ru,f,F1,717,0,0.0
t,ru,f,F2,717,0,0.0
t,ru,f,F3,717,0,0.0
t,ru,f,f0,717,661,92.19
t,ru,m,F1,180,0,0.0
t,ru,m,F2,180,0,0.0
t,ru,m,F3,180,0,0.0
t,ru,m,f0,180,167,92.78
tʲ,ru,f,F1,4,0,0.0
tʲ,ru,f,F2,4,0,0.0
tʲ,ru,f,F3,4,0,0.0
tʲ,ru,f,f0,4,3,75.0
t͡s,fr,f,F1,12,0,0.0
t͡s,fr,f,F2,12,0,0.0
t͡s,fr,f,F3,12,0,0.0
t͡s,fr,f,f0,12,12,100.0
t͡s,fr,m,F1,42,0,0.0
t͡s,fr,m,F2,42,0,0.0
t͡s,fr,m,F3,42,0,0.0
t͡s,fr,m,f0,42,38,90.48
t͡s,ru,f,F1,48,0,0.0
t͡s,ru,f,F2,48,0,0.0
t͡s,ru,f,F3,48,0,0.0
t͡s,ru,f,f0,48,47,97.92
t͡s,ru,m,F1,12,0,0.0
t͡s,ru,m,F2,12,0,0.0
t͡s,ru,m,F3,12,0,0.0
t͡s,ru,m,f0,12,11,91.67
u,fr,f,F1,73,0,0.0
u,fr,f,F2,73,0,0.0
u,fr,f,F3,73,0,0.0
u,fr,f,f0,73,0,0.0
u,fr,m,F1,250,0,0.0
u,fr,m,F2,250,0,0.0
u,fr,m,F3,250,0,0.0
u,fr,m,f0,250,12,4.8
u,ru,f,F1,317,0,0.0
u,ru,f,F2,317,0,0.0
u,ru,f,F3,317,0,0.0
u,ru,f,f0,317,9,2.84
u,ru,m,F1,73,0,0.0
u,ru,m,F2,73,0,0.0
u,ru,m,F3,73,0,0.0
u,ru,m,f0,73,3,4.11
u:,ru,f,F1,1,0,0.0
u:,ru,f,F2,1,0,0.0
u:,ru,f,F3,1,0,0.0
u:,ru,f,f0,1,0,0.0
v,fr,f,F1,12,0,0.0
v,fr,f,F2,12,0,0.0
v,fr,f,F3,12,0,0.0
v,fr,f,f0,12,0,0.0
v,fr,m,F1,42,0,0.0
v,fr,m,F2,42,0,0.0
v,fr,m,F3,42,0,0.0
v,fr,m,f0,42,0,0.0
v,ru,f,F1,46,0,0.0
v,ru,f,F2,46,0,0.0
v,ru,f,F3,46,0,0.0
v,ru,f,f0,46,0,0.0
v,ru,m,F1,10,0,0.0
v,ru,m,F2,10,0,0.0
v,ru,m,F3,10,0,0.0
v,ru,m,f0,10,0,0.0
v̥,ru,f,F1,2,0,0.0
v̥,ru,f,F2,2,0,0.0
v̥,ru,f,F3,2,0,0.0
v̥,ru,f,f0,2,1,50.0
w,fr,f,F1,288,0,0.0
w,fr,f,F2,288,0,0.0
w,fr,f,F3,288,0,0.0
w,fr,f,f0,288,105,36.46
w,fr,m,F1,1008,0,0.0
w,fr,m,F2,1008,0,0.0
w,fr,m,F3,1008,0,0.0
w,fr,m,f0,1008,405,40.18
w,ru,f,F1,1153,0,0.0
w,ru,f,F2,1153,0,0.0
w,ru,f,F3,1153,0,0.0
w,ru,f,f0,1153,166,14.4
w,ru,m,F1,290,0,0.0
w,ru,m,F2,290,0,0.0
w,ru,m,F3,290,0,0.0
w,ru,m,f0,290,50,17.24
x,fr,f,F1,2,0,0.0
x,fr,f,F2,2,0,0.0
x,fr,f,F3,2,0,0.0
x,fr,f,f0,2,1,50.0
x,ru,f,F1,1,0,0.0
x,ru,f,F2,1,0,0.0
x,ru,f,F3,1,0,0.0
x,ru,f,f0,1,1,100.0
y,fr,f,F1,60,0,0.0
y,fr,f,F2,60,0,0.0
y,fr,f,F3,60,0,0.0
y,fr,f,f0,60,1,1.67
y,fr,m,F1,213,0,0.0
y,fr,m,F2,213,0,0.0
y,fr,m,F3,213,0,0.0
y,fr,m,f0,213,34,15.96
y,ru,f,F1,205,0,0.0
y,ru,f,F2,205,0,0.0
y,ru,f,F3,205,0,0.0
y,ru,f,f0,205,6,2.93
y,ru,m,F1,60,0,0.0
y,ru,m,F2,60,0,0.0
y,ru,m,F3,60,0,0.0
y,ru,m,f0,60,2,3.33
y̥,ru,m,F1,1,0,0.0
y̥,ru,m,F2,1,0,0.0
y̥,ru,m,F3,1,0,0.0
y̥,ru,m,f0,1,1,100.0
z,fr,f,F1,12,0,0.0
z,fr,f,F2,12,0,0.0
z,fr,f,F3,12,0,0.0
z,fr,f,f0,12,0,0.0
z,fr,m,F1,42,0,0.0
z,fr,m,F2,42,0,0.0
z,fr,m,F3,42,0,0.0
z,fr,m,f0,42,1,2.38
z,ru,f,F1,43,0,0.0
z,ru,f,F2,43,0,0.0
z,ru,f,F3,43,0,0.0
z,ru,f,f0,43,3,6.98
z,ru,m,F1,12,0,0.0
z,ru,m,F2,12,0,0.0
z,ru,m,F3,12,0,0.0
z,ru,m,f0,12,1,8.33
æ,ru,f,F1,2,0,0.0
æ,ru,f,F2,2,0,0.0
æ,ru,f,F3,2,0,0.0
æ,ru,f,f0,2,0,0.0
ø,fr,f,F1,24,0,0.0
ø,fr,f,F2,24,0,0.0
ø,fr,f,F3,24,0,0.0
ø,fr,f,f0,24,0,0.0
ø,fr,m,F1,84,0,0.0
ø,fr,m,F2,84,0,0.0
ø,fr,m,F3,84,0,0.0
ø,fr,m,f0,84,0,0.0
ø,ru,f,F1,95,0,0.0
ø,ru,f,F2,95,0,0.0
ø,ru,f,F3,95,0,0.0
ø,ru,f,f0,95,0,0.0
ø,ru,m,F1,25,0,0.0
ø,ru,m,F2,25,0,0.0
ø,ru,m,F3,25,0,0.0
ø,ru,m,f0,25,0,0.0
ø̰,ru,f,F1,1,0,0.0
ø̰,ru,f,F2,1,0,0.0
ø̰,ru,f,F3,1,0,0.0
ø̰,ru,f,f0,1,0,0.0
ŋ,ru,f,F1,3,0,0.0
ŋ,ru,f,F2,3,0,0.0
ŋ,ru,f,F3,3,0,0.0
ŋ,ru,f,f0,3,0,0.0
ŋ,ru,m,F1,4,0,0.0
ŋ,ru,m,F2,4,0,0.0
ŋ,ru,m,F3,4,0,0.0
ŋ,ru,m,f0,4,0,0.0
œ,ru,f,F1,1,0,0.0
œ,ru,f,F2,1,0,0.0
œ,ru,f,F3,1,0,0.0
œ,ru,f,f0,1,0,0.0
œ̃,ru,f,F1,1,0,0.0
œ̃,ru,f,F2,1,0,0.0
œ̃,ru,f,F3,1,0,0.0
œ̃,ru,f,f0,1,0,0.0
ɑ,fr,f,F1,129,0,0.0
ɑ,fr,f,F2,129,0,0.0
ɑ,fr,f,F3,129,0,0.0
ɑ,fr,f,f0,129,0,0.0
ɑ,fr,m,F1,479,0,0.0
ɑ,fr,m,F2,479,0,0.0
ɑ,fr,m,F3,479,0,0.0
ɑ,fr,m,f0,479,147,30.69
ɑ,ru,f,F1,262,0,0.0
ɑ,ru,f,F2,262,0,0.0
ɑ,ru,f,F3,262,0,0.0
ɑ,ru,f,f0,262,19,7.25
ɑ,ru,m,F1,137,0,0.0
ɑ,ru,m,F2,137,0,0.0
ɑ,ru,m,F3,137,0,0.0
ɑ,ru,m,f0,137,14,10.22
ɑ̃,fr,f,F1,24,0,0.0
ɑ̃,fr,f,F2,24,0,0.0
ɑ̃,fr,f,F3,24,0,0.0
ɑ̃,fr,f,f0,24,0,0.0
ɑ̃,fr,m,F1,81,0,0.0
ɑ̃,fr,m,F2,81,0,0.0
ɑ̃,fr,m,F3,81,0,0.0
ɑ̃,fr,m,f0,81,0,0.0
ɑ̃,ru,f,F1,89,0,0.0
ɑ̃,ru,f,F2,89,0,0.0
ɑ̃,ru,f,F3,89,0,0.0
ɑ̃,ru,f,f0,89,0,0.0
ɑ̃,ru,m,F1,13,0,0.0
ɑ̃,ru,m,F2,13,0,0.0
ɑ̃,ru,m,F3,13,0,0.0
ɑ̃,ru,m,f0,13,0,0.0
ɑ̃ː,ru,f,F1,1,0,0.0
ɑ̃ː,ru,f,F2,1,0,0.0
ɑ̃ː,ru,f,F3,1,0,0.0
ɑ̃ː,ru,f,f0,1,0,0.0
ɑ̰̃,fr,m,F1,1,0,0.0
ɑ̰̃,fr,m,F2,1,0,0.0
ɑ̰̃,fr,m,F3,1,0,0.0
ɑ̰̃,fr,m,f0,1,0,0.0
ɕ,ru,f,F1,2,0,0.0
ɕ,ru,f,F2,2,0,0.0
ɕ,ru,f,F3,2,0,0.0
ɕ,ru,f,f0,2,2,100.0
ə,fr,f,F1,19,0,0.0
ə,fr,f,F2,19,0,0.0
ə,fr,f,F3,19,0,0.0
ə,fr,f,f0,19,1,5.26
ə,fr,m,F1,11,0,0.0
ə,fr,m,F2,11,0,0.0
ə,fr,m,F3,11,0,0.0
ə,fr,m,f0,11,1,9.09
ə,ru,f,F1,83,0,0.0
ə,ru,f,F2,83,0,0.0
ə,ru,f,F3,83,0,0.0
ə,ru,f,f0,83,7,8.43
ə,ru,m,F1,4,0,0.0
ə,ru,m,F2,4,0,0.0
ə,ru,m,F3,4,0,0.0
ə,ru,m,f0,4,0,0.0
ə̰,fr,f,F1,3,0,0.0
ə̰,fr,f,F2,3,0,0.0
ə̰,fr,f,F3,3,0,0.0
ə̰,fr,f,f0,3,0,0.0
ə̰,fr,m,F1,1,0,0.0
ə̰,fr,m,F2,1,0,0.0
ə̰,fr,m,F3,1,0,0.0
ə̰,fr,m,f0,1,0,0.0
ə̰,ru,f,F1,7,0,0.0
ə̰,ru,f,F2,7,0,0.0
ə̰,ru,f,F3,7,0,0.0
ə̰,ru,f,f0,7,3,42.86
ɛ,fr,f,F1,36,0,0.0
ɛ,fr,f,F2,36,0,0.0
ɛ,fr,f,F3,36,0,0.0
ɛ,fr,f,f0,36,0,0.0
ɛ,fr,m,F1,126,0,0.0
ɛ,fr,m,F2,126,0,0.0
ɛ,fr,m,F3,126,0,0.0
ɛ,fr,m,f0,126,6,4.76
ɛ,ru,f,F1,143,0,0.0
ɛ,ru,f,F2,143,0,0.0
ɛ,ru,f,F3,143,0,0.0
ɛ,ru,f,f0,143,0,0.0
ɛ,ru,m,F1,42,0,0.0
ɛ,ru,m,F2,42,0,0.0
ɛ,ru,m,F3,42,0,0.0
ɛ,ru,m,f0,42,1,2.38
ɛ̃,ru,f,F1,5,0,0.0
ɛ̃,ru,f,F2,5,0,0.0
ɛ̃,ru,f,F3,5,0,0.0
ɛ̃,ru,f,f0,5,0,0.0
ɛ̰,fr,m,F1,1,0,0.0
ɛ̰,fr,m,F2,1,0,0.0
ɛ̰,fr,m,F3,1,0,0.0
ɛ̰,fr,m,f0,1,0,0.0
ɡ,fr,f,F1,24,0,0.0
ɡ,fr,f,F2,24,0,0.0
ɡ,fr,f,F3,24,0,0.0
ɡ,fr,f,f0,24,2,8.33
ɡ,fr,m,F1,82,0,0.0
ɡ,fr,m,F2,82,0,0.0
ɡ,fr,m,F3,82,0,0.0
ɡ,fr,m,f0,82,10,12.2
ɡ,ru,f,F1,91,0,0.0
ɡ,ru,f,F2,91,0,0.0
ɡ,ru,f,F3,91,0,0.0
ɡ,ru,f,f0,91,17,18.68
ɡ,ru,m,F1,22,0,0.0
ɡ,ru,m,F2,22,0,0.0
ɡ,ru,m,F3,22,0,0.0
ɡ,ru,m,f0,22,1,4.55
ɡ̥,fr,m,F1,2,0,0.0
ɡ̥,fr,m,F2,2,0,0.0
ɡ̥,fr,m,F3,2,0,0.0
ɡ̥,fr,m,f0,2,1,50.0
ɡ̥,ru,f,F1,5,0,0.0
ɡ̥,ru,f,F2,5,0,0.0
ɡ̥,ru,f,F3,5,0,0.0
ɡ̥,ru,f,f0,5,5,100.0
ɡ̥,ru,m,F1,2,0,0.0
ɡ̥,ru,m,F2,2,0,0.0
ɡ̥,ru,m,F3,2,0,0.0
ɡ̥,ru,m,f0,2,1,50.0
ɨ,ru,f,F1,2,0,0.0
ɨ,ru,f,F2,2,0,0.0
ɨ,ru,f,F3,2,0,0.0
ɨ,ru,f,f0,2,0,0.0
ɪ,ru,f,F1,1,0,0.0
ɪ,ru,f,F2,1,0,0.0
ɪ,ru,f,F3,1,0,0.0
ɪ,ru,f,f0,1,0,0.0
ɪ,ru,m,F1,11,0,0.0
ɪ,ru,m,F2,11,0,0.0
ɪ,ru,m,F3,11,0,0.0
ɪ,ru,m,f0,11,0,0.0
ɫ,ru,f,F1,1,0,0.0
ɫ,ru,f,F2,1,0,0.0
ɫ,ru,f,F3,1,0,0.0
ɫ,ru,f,f0,1,0,0.0
ɫ,ru,m,F1,2,0,0.0
ɫ,ru,m,F2,2,0,0.0
ɫ,ru,m,F3,2,0,0.0
ɫ,ru,m,f0,2,0,0.0
ɬ,ru,f,F1,1,0,0.0
ɬ,ru,f,F2,1,0,0.0
ɬ,ru,f,F3,1,0,0.0
ɬ,ru,f,f0,1,0,0.0
