representation,layer,phoneme,N,k_speakers,pct_inter,pct_intra_residual
whisper,4,a,3099,19,10.67,89.33
whisper,4,ɑ,1007,19,18.96,81.04
whisper,4,e,241,19,19.57,80.43
whisper,4,ɛ,347,19,15.99,84.01
whisper,4,i,1872,19,18.26,81.74
whisper,4,o,114,19,32.93,67.07
whisper,4,u,713,19,10.65,89.35
whisper,4,y,538,19,11.55,88.45
whisper,4,ø,228,19,27.87,72.13
whisper,4,ə,117,14,22.47,77.53
xlsr,3,a,3099,19,19.39,80.61
xlsr,3,ɑ,1007,19,56.57,43.43
xlsr,3,e,241,19,39.56,60.44
xlsr,3,ɛ,347,19,32.06,67.94
xlsr,3,i,1872,19,37.89,62.11
xlsr,3,o,114,19,72.66,27.34
xlsr,3,u,713,19,23.95,76.05
xlsr,3,y,538,19,25.19,74.81
xlsr,3,ø,228,19,58.61,41.39
xlsr,3,ə,117,14,39.86,60.14
