ph1,ph2,metric,obs_distance,ci_lo,ci_hi,representation
e,ɛ,cosine,0.009910646378609167,0.009627243075539981,0.015434360941409158,whisper_layer4
o,u,cosine,0.018042256568594484,0.017244314860981887,0.023453737659670612,whisper_layer4
y,u,cosine,0.023123017815790736,0.021442573024150247,0.027537216146857033,whisper_layer4
a,ɑ,cosine,0.013359196771513204,0.011905224222074264,0.01910855632066348,whisper_layer4
e,ɛ,cosine,0.0445981893819809,0.04017159636500682,0.06738909609465311,xlsr_layer3
o,u,cosine,0.09854039865580744,0.08150991914214872,0.13315904461479544,xlsr_layer3
y,u,cosine,0.14992772220047412,0.13597962364484886,0.1751645338674201,xlsr_layer3
a,ɑ,cosine,0.07586434681734522,0.06408374297818888,0.10518431000729749,xlsr_layer3
e,ɛ,euclidean,0.29927002293328997,0.17202778969468202,0.44428381826687363,acoustic
o,u,euclidean,0.6871002007309295,0.568837515416755,0.811804862777604,acoustic
y,u,euclidean,1.4639597534508049,1.3345505368242323,1.6055915088014248,acoustic
a,ɑ,euclidean,0.6958128787495088,0.577300872598737,0.8079444911374909,acoustic
