phoneme,feature,estimate,ci_lo,ci_hi,representation,rope_lo,rope_hi,rope_class
a,F1_lob,-0.17044578062014282,-0.39129653868049685,0.050404977440211246,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
a,F2_lob,-0.06781461642746198,-0.23514009658081528,0.09951086372589132,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
ɑ,F1_lob,0.5641130647573311,-0.22187071303281514,1.3500968425474773,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
ɑ,F2_lob,0.3159973968273361,0.017964351643910692,0.6140304420107614,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
e,F1_lob,0.19225959815588498,-0.10813920954336378,0.49265840585513376,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
e,F2_lob,-0.30166644316706925,-0.6195394254063367,0.01620653907219821,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
ɛ,F1_lob,-0.17512789864276326,-0.5480979849967711,0.19784218771124454,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
ɛ,F2_lob,-0.36114771495233156,-0.6537826754354741,-0.06851275446918909,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
i,F1_lob,-0.1085884642511419,-0.431912144969602,0.21473521646731825,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
i,F2_lob,0.058764396908753194,-0.09719877661557379,0.21472757043308016,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
o,F1_lob,0.3071320625577284,0.03891783133983956,0.5753462937756173,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
o,F2_lob,0.24724931637399034,-0.10591051630168102,0.6004091490496617,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
u,F1_lob,0.08842819958596143,-0.14467535792242564,0.3215317570943485,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
u,F2_lob,0.1598307887015968,-0.08441238329116404,0.40407396069435764,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
y,F1_lob,0.21864028492587748,-0.16230472930746295,0.5995852991592179,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
y,F2_lob,-0.29785456073908567,-0.7003860269276534,0.1046769054494821,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
ø,F1_lob,0.2524309742472256,-0.12322517564288654,0.6280871241373378,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
ø,F2_lob,-0.32211652200138285,-0.7049928251736528,0.06075978117088715,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
ə,F1_lob,0.3120899378061291,-0.342215855445333,0.9663957310575912,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
ə,F2_lob,-0.23191780602759382,-0.551726020297673,0.0878904082424854,acoustic,-0.15384615384615385,0.15384615384615385,indeterminate
a,,0.008555140390612559,0.0055050220251874615,0.01663432928034816,whisper,0.0,0.19424270483639144,equivalent
ɑ,,0.01131073014597983,0.009031097484610848,0.028111546418460188,whisper,0.0,0.19424270483639144,equivalent
e,,0.01243448002319536,0.008786943943435715,0.025396601003209146,whisper,0.0,0.19424270483639144,equivalent
ɛ,,0.011952341600251715,0.008971570467627182,0.023687967525126575,whisper,0.0,0.19424270483639144,equivalent
i,,0.010409943086067242,0.0069733080334931415,0.02034371024948325,whisper,0.0,0.19424270483639144,equivalent
o,,0.011525734097907803,0.010087418691962405,0.027268181807733185,whisper,0.0,0.19424270483639144,equivalent
u,,0.007341174448052268,0.005501944849701309,0.014954327159655818,whisper,0.0,0.19424270483639144,equivalent
y,,0.008773437692546349,0.0064802899189599725,0.01765123548341743,whisper,0.0,0.19424270483639144,equivalent
ø,,0.011656840693918591,0.008675918188711293,0.02647131643108348,whisper,0.0,0.19424270483639144,equivalent
ə,,0.011472714495435632,0.01223977291877655,0.047184527571934864,whisper,0.0,0.19424270483639144,equivalent
a,,0.03756807390161576,0.025937795474974407,0.07238119947205084,xlsr,0.0,0.46839719424512544,equivalent
ɑ,,0.05063692637083639,0.035697347120927835,0.1282435792209804,xlsr,0.0,0.46839719424512544,equivalent
e,,0.05580710014431556,0.03399389732552798,0.11239526317021348,xlsr,0.0,0.46839719424512544,equivalent
ɛ,,0.05232939481794752,0.03388351051572326,0.10247282088839248,xlsr,0.0,0.46839719424512544,equivalent
i,,0.04759003052218169,0.02939505239485194,0.09430246790594358,xlsr,0.0,0.46839719424512544,equivalent
o,,0.043572885395775196,0.030327726755512575,0.09880563429218585,xlsr,0.0,0.46839719424512544,equivalent
u,,0.03734898740730941,0.022024264050094233,0.07994683044751293,xlsr,0.0,0.46839719424512544,equivalent
y,,0.042376418180668396,0.026040394075002908,0.09076074234159623,xlsr,0.0,0.46839719424512544,equivalent
ø,,0.0493939573331037,0.03384303908265862,0.10305858972671061,xlsr,0.0,0.46839719424512544,equivalent
ə,,0.04531453058998458,0.04586892752629061,0.1884612459526624,xlsr,0.0,0.46839719424512544,equivalent
